Luokka: XX
- Juho Laitinen (Kielen taso: 2, Tuen tarve: 5, Erikoisehto:0)
- Liisa Virtanen1 (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:5)
- Leo Heikkinen1 (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Onni Koskinen1 (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Liisa Virtanen11 (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:2)
- Leo Heikkinen11 (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Onni Koskinen11 (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Leo Heikkinenq (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Liisa Virtanen1q (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Leo Heikkinen1q (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Onni Koskinen1q (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Onni Koskinen11q (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Aada Mäkelä (Kielen taso: 0, Tuen tarve: 3, Erikoisehto:0)
- Siiri Laine11 (Kielen taso: 0, Tuen tarve: 3, Erikoisehto:0)
- Onni Koskinenq (Kielen taso: 0, Tuen tarve: 3, Erikoisehto:0)
- Leo Heikkinen11q (Kielen taso: 0, Tuen tarve: 3, Erikoisehto:0)
- Mikko Mallikas1 (Kielen taso: 0, Tuen tarve: 4, Erikoisehto:0)

Luokka: D
- Mikko Mallik11q (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:1)
- Olli Järvinen1 (Kielen taso: 0, Tuen tarve: 4, Erikoisehto:0)
- Noora Kallio (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Daniel Salmi (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Veera Laakso (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Noora Kallio1 (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Daniel Salmi1 (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Veera Laakso1 (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Noora Kallio11 (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Daniel Salmi11 (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Veera Laakso11 (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Noora Kallioq (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Daniel Salmiq (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Noora Kallio1q (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Daniel Salmi1q (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Veera Laakso1q (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Noora Kallio11q (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Daniel Salmi11q (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Veera Laakso11q (Kielen taso: 1, Tuen tarve: 1, Erikoisehto:0)
- Sara Korhonen (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)

Luokka: E
- Mikko Mallik11 (Kielen taso: 0, Tuen tarve: 4, Erikoisehto:1)
- Emil Mäkinen (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:5)
- Sara Korhonen1 (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Emil Mäkinen1 (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Sara Korhonen11 (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Emil Mäkinen11 (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Sara Korhonenq (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Emil Mäkinenq (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Sara Korhonen1q (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Emil Mäkinen1q (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Sara Korhonen11q (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:2)
- Emil Mäkinen11q (Kielen taso: 1, Tuen tarve: 2, Erikoisehto:0)
- Veera Laaksoq (Kielen taso: 1, Tuen tarve: 4, Erikoisehto:0)
- Juho Laitinen1 (Kielen taso: 2, Tuen tarve: 2, Erikoisehto:0)
- Juho Laitinen11 (Kielen taso: 2, Tuen tarve: 2, Erikoisehto:0)
- Juho Laitinenq (Kielen taso: 2, Tuen tarve: 2, Erikoisehto:3)
- Juho Laitinen11q (Kielen taso: 2, Tuen tarve: 2, Erikoisehto:0)
- Juho Laitinen1q (Kielen taso: 2, Tuen tarve: 3, Erikoisehto:4)
- Niilo Salminen (Kielen taso: 3, Tuen tarve: 0, Erikoisehto:0)
- Niilo Salminen1 (Kielen taso: 3, Tuen tarve: 0, Erikoisehto:0)

Luokka: F
- Niilo Salminen11 (Kielen taso: 3, Tuen tarve: 0, Erikoisehto:0)
- Niilo Salminenq (Kielen taso: 3, Tuen tarve: 0, Erikoisehto:0)
- Matias Turunen (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Sofia Leppänen (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Elsa Kärkkäinen (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Matias Turunen1 (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Sofia Leppänen1 (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:5)
- Elsa Kärkkäinen1 (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Matias Turunen11 (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Sofia Leppänen11 (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Sofia Leppänenq (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:2)
- Elsa Kärkkäinenq (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Sofia Leppänen1q (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Elsa Kärkkäinen1q (Kielen taso: 4, Tuen tarve: 0, Erikoisehto:0)
- Ella Lehtonen (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:3)
- Venla Saarinen1 (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:0)
- Venla Saarinen11 (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:0)
- Ella Lehtonen11 (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:0)
- Ella Lehtonenq (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:5)
- Ella Lehtonen1q (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:0)

Luokka: G
- Venla Saarinen11q (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:0)
- Ella Lehtonen11q (Kielen taso: 4, Tuen tarve: 1, Erikoisehto:3)
- Ella Lehtonen1 (Kielen taso: 4, Tuen tarve: 3, Erikoisehto:0)
- Matias Turunen1q (Kielen taso: 4, Tuen tarve: 3, Erikoisehto:5)
- Matias Turunen11q (Kielen taso: 4, Tuen tarve: 3, Erikoisehto:0)
- Sofia Leppänen11q (Kielen taso: 4, Tuen tarve: 3, Erikoisehto:0)
- Venla Saarinen (Kielen taso: 4, Tuen tarve: 4, Erikoisehto:0)
- Venla Saarinenq (Kielen taso: 4, Tuen tarve: 4, Erikoisehto:0)
- Venla Saarinen1q (Kielen taso: 4, Tuen tarve: 4, Erikoisehto:0)

